"","Group","filename","unittitle.text","didunitdate.text","didlanguage.attrs","didabstract.text","level","primarynode.attrs","didunitdate.attrs","container.text","didcontainer.attrs.1","didcontainer.attrs.2","scopecontentid.attrs","scopecontenthead.text","scopecontentp.text","accessrestrictid.attrs","accessrestricthead.text","accessrestrictp.text","note.text","Hierarchical_Relationship","Description_Level","Year_Num"
"11630",3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 2(41), 5(44)-8(47), 14(53), 38(77), 41/48(80/87)"
"11631",3744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 25(112)"
"11632",3745,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SITUATSIIA fakty, sobytiia, kommentarii, proisshestviia, rassledovaniia Gl. redaktor V. Filatov. Moscow, Russia. Weekly. 1990",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: nos. 2(41), 5(44)-8(47), 14(53), 38(77), 41-48(80-87)1993: no. 25(112)",1,"Series",NA
"11633",3745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 2(41), 5(44)-8(47), 14(53), 38(77), 41-48(80-87)"
"11634",3745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1993: no. 25(112)"
"11635",3746,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SITUATSIIA Gazeta anarkhistov. Rossiii. Nizhnii Novgorod, Russia. ",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"2003: nos. 1-32004: no. 52005: nos. 7-11",1,"Series",NA
"11636",3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2003: no. 1-3"
"11637",3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2004: no. 5"
"11638",3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","2005: no. 7-11"
"11639",3747,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SIVTSEV VRAZHEK arbatskii vypusk. Gl. redaktor: Privalenkov, A. Moscow, Russia. Semimonthly. 1992-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 3",1,"Series",NA
"11640",3747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 3"
"11641",3748,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKARBNYTSIA malorosyisk'kyi syndrom i ukrainsk'ska natsional'na ideia. Kiev, Ukraine. 199?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1992: no. 1(2)",1,"Series",NA
"11642",3748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1992: no. 1(2)"
"11643",3749,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKARBNYTSIA Tovarystvo Leva. Supplement to: Postup. L'vov, Ukraine. 198?-",NA,NA,NA,"series","series",NA,"545","Box","Box: ",NA,NA,NA,NA,NA,NA,"1989: no. 1-2",1,"Series",NA
"11644",3749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1989: no. 1-2"
"11645",3750,"C:/Users/kkalinin/Documents/R/win-library/3.6/HooverArchives/rusnewspapers.xml","SKHID informatsinyi biuleten' pervynnykh oseredkiv donets'koho kraivoho Rukhu i sotsial'no-ekonomichnoi firmy ""Ekologiia liudyny. "" Redaktor: Boiko, V. Donets'k, Ukraine. 1990?-",NA,NA,NA,"series","series",NA,"351","Box","Box: ",NA,NA,NA,NA,NA,NA,"1990: no. 1",1,"Series",NA
"11646",3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"File","1990: no. 1"
